		Company Market Cap
ASMI.AS	2008	332672118.2
EDEN.PA	2018	7682842498
EDEN.PA	2017	5692038253
EDEN.PA	2016	4401359881
EDEN.PA	2015	4027753998
EDEN.PA	2014	5252369038
EDEN.PA	2013	5496083645
EDEN.PA	2012	5263409327
EDEN.PA	2011	4296568472
EDEN.PA	2010	4001772370
AGES.BR	2018	7978772421
AGES.BR	2017	8525718924
AGES.BR	2016	8145215414
AGES.BR	2015	9577716932
AGES.BR	2014	6815542645
AGES.BR	2013	7226395197
AGES.BR	2012	5400939057
AGES.BR	2011	2950061993
AGES.BR	2010	4203838340
AGES.BR	2009	6168407918
AGES.BR	2008	2184693464
EDP.LS	2018	11148783493
EDP.LS	2017	10500739957
EDP.LS	2016	10582020147
EDP.LS	2015	10254384474
EDP.LS	2014	9936347256
EDP.LS	2013	8244265747
EDP.LS	2012	6723950624
EDP.LS	2011	8360221677
EDP.LS	2010	8709875448
EDP.LS	2009	10867239218
EDP.LS	2008	9854369142
AIRF.PA	2018	4063450652
AIRF.PA	2017	5794159569
AIRF.PA	2016	1553334544
AIRF.PA	2015	2107539332
AIRF.PA	2014	2390946330
AIRF.PA	2013	2277463443
AIRF.PA	2012	2101234727
AIRF.PA	2011	1192771191
AIRF.PA	2010	4091988759
AIRF.PA	2009	3302412058
AIRF.PA	2008	2753010779
FOUG.PA	2018	7150080000
FOUG.PA	2017	8951663986
FOUG.PA	2016	6497950056
FOUG.PA	2015	5681185484
FOUG.PA	2014	3886474148
FOUG.PA	2013	3743006666
FOUG.PA	2012	2926032738
FOUG.PA	2011	1630367660
FOUG.PA	2010	2970450000
FOUG.PA	2009	3550500000
FOUG.PA	2008	3422469491
UBIP.PA	2018	7962019528
UBIP.PA	2017	7168258371
UBIP.PA	2016	3837165246
UBIP.PA	2015	2966196462
UBIP.PA	2014	1634872288
UBIP.PA	2013	1084665879
UBIP.PA	2012	752967565
UBIP.PA	2011	491054345.2
UBIP.PA	2010	757357376
UBIP.PA	2009	933655847.4
UBIP.PA	2008	1302984545
IMCD.AS	2018	2945166224
IMCD.AS	2017	2757411877
IMCD.AS	2016	2129460364
IMCD.AS	2015	1791555133
IMCD.AS	2014	1410000000
LOIM.PA	2018	8475039458
LOIM.PA	2017	11525865050
LOIM.PA	2016	11739627173
LOIM.PA	2015	12885455022
LOIM.PA	2014	7127075248
LOIM.PA	2013	6719158403
LOIM.PA	2012	5988099607
LOIM.PA	2011	4179847210
LOIM.PA	2010	5119554239
LOIM.PA	2009	5166189594
LOIM.PA	2008	2908752542
TKWY.AS	2018	2540937101
TKWY.AS	2017	2197159995
TKWY.AS	2016	1014804636
VLLP.PA	2018	744459103.9
VLLP.PA	2017	2295394703
VLLP.PA	2016	2955608933
VLLP.PA	2015	1166920515
VLLP.PA	2014	2971103931
VLLP.PA	2013	5075120160
VLLP.PA	2012	4934131598
VLLP.PA	2011	6091149955
VLLP.PA	2010	9270404845
VLLP.PA	2009	7277524242
VLLP.PA	2008	4356885996
GALP.LS	2018	10638305614
GALP.LS	2017	11818197429
GALP.LS	2016	10942918207
GALP.LS	2015	8266954417
GALP.LS	2014	6501743721
GALP.LS	2013	9188503907
GALP.LS	2012	9068972383
GALP.LS	2011	8775927357
GALP.LS	2010	11058593875
GALP.LS	2009	9315747142
GALP.LS	2008	5537008649
RAND.AS	2018	7348570004
RAND.AS	2017	9390449666
RAND.AS	2016	9431188949
RAND.AS	2015	10529096590
RAND.AS	2014	7215193420
RAND.AS	2013	8365997399
RAND.AS	2012	4784487318
RAND.AS	2011	3907893683
RAND.AS	2010	6716925823
RAND.AS	2009	5917588230
RAND.AS	2008	2466851014
SEVI.PA	2018	7164310536
SEVI.PA	2017	9141612221
SEVI.PA	2016	7910083463
SEVI.PA	2015	9366026258
SEVI.PA	2014	7798275322
SEVI.PA	2013	6645795623
SEVI.PA	2012	4647719948
SEVI.PA	2011	4541591312
SEVI.PA	2010	7565850477
SEVI.PA	2009	7896397342
SEVI.PA	2008	5900873673
UCB.BR	2018	13868253415
UCB.BR	2017	12872384446
UCB.BR	2016	11847339629
UCB.BR	2015	16188705915
UCB.BR	2014	12292757586
UCB.BR	2013	9930746009
UCB.BR	2012	7925037547
UCB.BR	2011	5961197841
UCB.BR	2010	4706980885
UCB.BR	2009	5357926819
UCB.BR	2008	4272405712
BVI.PA	2018	7865390000
BVI.PA	2017	10073180000
BVI.PA	2016	8137220000
BVI.PA	2015	8128380000
BVI.PA	2014	8093789020
BVI.PA	2013	9392635958
BVI.PA	2012	9375163741
BVI.PA	2011	6154592478
BVI.PA	2010	6187949226
BVI.PA	2009	3953889821
BVI.PA	2008	3108511934
KVW.AS	2018	1106400000
KVW.AS	2017	1899600000
GFCP.PA	2018	8618000596
GFCP.PA	2017	11585423941
GFCP.PA	2016	8336139806
GFCP.PA	2015	7079665187
GFCP.PA	2014	6523166781
GFCP.PA	2013	6032675470
GFCP.PA	2012	5324625332
GFCP.PA	2011	4072279120
GFCP.PA	2010	5153870940
GFCP.PA	2009	4765011754
GFCP.PA	2008	3099701942
EDF.PA	2018	41541693929
EDF.PA	2017	30503912338
EDF.PA	2016	20416443091
EDF.PA	2015	26065887292
EDF.PA	2014	42454693282
EDF.PA	2013	47774317501
EDF.PA	2012	25847155935
EDF.PA	2011	34758693246
